qc_id,objectid,region_nam,parent_cod,district,code,mahalla_no,shape_leng,shape_area,mfy_id,social_dat,social_d_1,social_d_2,social_d_3,social_d_4,social_d_5,social_d_6,social_d_7,social_d_8,social_d_9,social_d10,social_d11,social_d12,social_d13,population,area,density,NDVI_mean,NDVI_mean_1
270,707,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Naupir MFY,0.054568793,0.000163594,23170045,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,18-НАУПИР,1735,1735401,797,691,"1,313",394,9,32,85,105,688,"1,815",1494376.948,1.21E-06,1681.630249,0.168163025
294,731,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Gulzar MFY,0.02315894,3.30E-05,23170021,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,57-ГУЛЗАР,1735,1735401,163,152,190,82,2,6,10,7,83,300,301857.4405,0.000993847,1728.285278,0.172828528
260,697,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Qutliqonis MFY,0.096822814,0.00020063,23170041,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,46-КУТЛЫ КОНЫС,1735,1735401,254,225,377,121,3,9,14,51,179,566,1831925.318,0.000308965,2008.78772,0.200878772
297,734,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Do‘stlik guzori MFY,0.025710974,3.37E-05,23170023,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,56-ДОСЛЫК ГУЗАРЫ,1735,1735401,269,221,346,116,5,5,20,15,185,523,308121.6383,0.001697382,1582.174316,0.158217432
261,698,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Qumovul MFY,0.15163815,0.00080159,23170037,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,23-Қум АУЫЛ,1735,1735401,473,434,810,272,7,29,49,68,385,"1,108",7320627.893,1.51E-07,1327.931519,0.132793152
262,699,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Qo‘sbuloq MFY,0.07258624,0.00019532,23170035,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,32-КОС БУЛАК,1735,1735401,509,417,790,246,8,14,29,75,418,"1,142",1784875.085,6.40E-07,1682.504639,0.168250464
298,735,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Аta makan MFY,0.051898308,0.000162035,23170010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479126.588,NA,1645.768188,0.164576819
263,700,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Jeketerak MFY,0.084068106,0.000281681,23170028,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,24-ЖEКE ТEРEК,1735,1735401,544,459,866,267,6,19,49,77,448,"1,212",2574604.222,4.71E-07,1612.199707,0.161219971
264,701,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Bog‘chilik MFY,0.034390718,5.44E-05,23170011,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,30-БАГШЫЛЫК,1735,1735401,254,230,400,147,4,14,18,40,177,572,496791.2537,0.001151389,1661.380859,0.166138086
266,703,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Shimbay shayxana MFY,0.051271983,9.91E-05,23170063,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,4-ШЫМБАЙ ШАЙХАНА,1735,1735401,324,261,399,150,3,7,20,15,204,610,905158.9063,0.000673915,1601.809692,0.160180969
271,708,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Samanboy MFY,0.070287241,0.000127042,23170049,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,42-САМАНБАЙ,1735,1735401,506,479,858,213,7,32,61,63,482,"1,169",1160483.309,1.01E-06,1755.485229,0.175548523
274,711,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Qutli makan MFY,0.102557428,0.000428177,23170040,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,54-КУТЛЫ МАКАН,1735,1735401,879,815,"1,569",421,6,35,125,208,774,"2,104",3907934.903,5.38E-07,2104.654541,0.210465454
272,709,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Nawqan bag‘ MFY,0.094825972,0.000355226,23170044,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,36-НАУКАН БАГ,1735,1735401,585,527,"1,039",268,6,21,83,104,557,"1,436",3247872.581,4.42E-07,1606.995483,0.160699548
275,712,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Qurilishchi MFY,0.051025584,0.000128114,23170039,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,12-КУРЫЛЫСШЫ,1735,1735401,192,169,258,111,3,6,9,26,103,391,1170662.807,0.000333999,1677.938721,0.167793872
273,710,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Naubaxar MFY,0.099410715,0.000440202,23170043,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,52-НАУБАХАР,1735,1735401,681,625,"1,258",322,8,19,64,152,693,"1,664",4026120.477,4.13E-07,1761.007324,0.176100732
299,736,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Taslaq MFY,0.046266419,9.15E-05,23170051,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,21-ТАСЛАК,1735,1735401,464,410,808,239,10,43,55,65,396,"1,157",834755.6201,1.39E-06,1477.432495,0.14774325
279,716,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Ko‘k o‘zek MFY,0.046130662,3.32E-05,23170034,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,26-КОҚ-ОЗEК,1735,1735401,242,215,314,108,2,7,23,15,159,483,303587.2179,0.001590976,1598.955566,0.159895557
